"Id","Value","DisplayName","Description"
"69201c67-737b-4a20-8f16-e0c8c64e0b0e","PasswordWriteback.OffboardClient.All","Read, write and manage Microsoft Entra Connect Sync Agent","Allows the app to uninstall Microsoft Entra Connect Sync Agent and offboard SSPR for the tenant"
"e006e431-a65b-4f3e-8808-77d29d4c5f1a","PasswordWriteback.RegisterClientVersion.All","Read, write and manage Microsoft Entra Connect Sync Agent","Allows the app to register a newer version of on-premises Microsoft Entra Connect Sync Agent."
"fc7e8088-95b5-453e-8bef-b17ecfec5ba3","PasswordWriteback.RefreshClient.All","Read, write and manage self-service password reset writeback configuration","Allows the app to refresh and recreate on-premises configuration for Microsoft self-service password reset."
"455e5cd2-84e8-4751-8344-5672145dfa17","Exchange.ManageAsApp","Exchange.ManageAsApp","Exchange.ManageAsApp"
"c79b0778-99a8-4d45-9063-3f160ec2776d","EopPolicySync.AccessAsApp","EopPolicySync.AccessAsApp","Scope to allow FirstParty APPS to make PolicySync calls"
"8f819283-077c-4c68-aa24-0ad706da26e0","ThreatSubmission.ReadWrite.All","ThreatSubmission.ReadWrite.All","ThreatSubmission.ReadWrite.All"
"d3010f21-1088-4717-b6b6-60f186f268f6","app_access","Access according to the application's permissions in Microsoft Invoicing","Microsoft Invoicing for Office 365"
"a25ca244-bc95-4be7-bd58-ca9325bd24b2","AzureContainerRegistryRP","Azure Container Registry RP","Azure Container Registry Resource Provider"
"7734e8e5-8dde-42fc-b5ae-6eafea078693","AdvancedHunting.Read.All","Run advanced hunting queries","Allows the app to run advanced hunting queries"
"8d90f441-09cf-4fdc-ab45-e874fa3a28e8","Incident.ReadWrite.All","Read and write all incidents","Allows the app to create or update any incident"
"a9790345-4595-42e4-971a-ccdc79f19b7c","Incident.Read.All","Read all incidents","Allows the app to read any incident"
"a7deff90-e2f5-4e4e-83a3-2c74e7002e28","CustomDetections.ReadWrite.All","Read and write all custom detection rules","Allows the app to create or update any custom detection rule"
"a577a7fd-1007-45d9-89fc-49e2c0851d0a","ReadingAssignments.ReadWrite","ReadingAssignments.ReadWrite","Allows reading and writing of reading assignment data."
"570282fd-fa5c-430d-a7fd-fc8dc98a9fda","Team.Delete.AADSyncApp","Delete Team data","Delete Team for particular Team ID and Tenant ID"
"570282fd-fa5c-430d-a7fd-fc8dc98a9adc","Tenant.Delete.AADSyncApp","Delete Tenant data","Delete Tenant data for a particular tenant id"
"570282fd-fa5c-430d-a7fd-fc8dc98a9daf","User.Delete.AADSyncApp","Delete User data","Delete Users data with particular user ID, TenantID"
