"Id","Value","AdminConsentDisplayName","AdminConsentDescription"
"b2aaadb6-d62b-48f5-a451-e45345c6d980","user_impersonation","Have access to Dynamics 365 Athena - CDS to Azure data lake API","Allow the application access to the Dynamics 365 Athena - CDS to Azure data lake API on behalf of the signed-in user."
"7757dd34-1b17-4123-afba-9bdbeeb48d1a","Directory.AccessAsUser.All","Directory.AccessAsUser.All","Directory.AccessAsUser.All"
"d079d0df-9773-4880-8129-d0f087474a78","user_impersonation","Access as the signed-in user","Microsoft Invoicing for Office 365"
"bac573f2-17d3-4f4c-a1ef-45747c6f1765","Machine.ReadWrite","User machine management","Allow the user to manage its machines in Machine Management Service"
"eabf9ef3-1f9e-f3da-19a1-bcd60d080567","user_impersonation","Partner Center","Partner Center"
"34867107-3899-49fe-9b02-1a30e90f1e8e","TeamsCortana.ReadWrite","Access user information from Microsoft Teams","Access user information from Microsoft Teams"
"ecff1a9d-e6bb-4e01-9136-c8825bbfceb3","IntuneAADBitLockerRecoveryKey.Read","Read BitLocker recovery keys","Allows user to view their BitLocker recovery keys"
"2af415cc-88cf-4146-a0c8-444c3a80d5db","Incident.ReadWrite","Read and write incidents","Allows the app to create, read or update any incident that the signed in user can create, read or update"
"12c153a4-4204-4224-aa3c-4626e2f47c2b","Incident.Read","Read incidents","Allows the app to read any incident that the signed in user can access"
"15f11de4-5113-4268-a2d1-0bad43d781f9","AdvancedHunting.Read","Run advanced hunting queries","Allows the app to run advanced hunting queries, that the signed-in user can execute."
"ddbb8d0c-c86b-4ece-bcb7-0f031a9cf103","CustomDetections.ReadWrite","Read and write custom detection rules","Allows the app to create or update any custom detection rule that the signed in user can"
"703f6192-642a-4e6b-8f6b-0820e6127784","Assets.ReadWrite.All","Read or Write all assets","this allows admin to view or assign asset"
"fbbb4b08-457d-479b-b90b-de1c068ffd03","LearningActivities.ReadWrite","Read and Write Learning Activities","Allows reading and writing of learning activities data."
"a577a7fd-1007-45d9-89fc-49e2c0851d0a","ReadingAssignments.ReadWrite","ReadingAssignments.ReadWrite","Allows reading and writing of reading assignment data."
"8040cfef-0635-4aa6-b099-9f40d6866bbb","invoke","Invoke Diagnostics","Invoke Diagnostics"
"47d9c114-7cc8-47c6-9e62-4c5955b05905","SPHome","SPHome","Access to SPHome api"
"0eda57b1-cb5c-4bb4-bea6-804aae8cf097","user.default","user.default","The default access for the users to access Customer Consent APIs"
"5c367ba1-3a11-4284-92e9-19c836b05b1d","user_impersonation","user_impersonation","user_impersonation"
"594a414c-f70a-4504-b1f6-f1b5a4c95b2f","Chat.Read","Read chat messages (delegated)","Allow access to chat messages via this API."
"1d28bd1f-7c1b-4e6b-bc5b-abc07323e7f2","Policy.Read","Loki Policy.Read","Allow client apps to read policy data via Loki."
"de374d49-137d-465b-b4bb-ef2cec26583f","Calendar.Read","Access the Office People API","Allow access the Office People API"
"62e3da56-9c9b-4e31-a9bb-967b9a2b361f","User.Read","Access the Office People API","Allow access the Office People API"
"07c496ee-38d1-46df-b73d-45e1ff46d11e","User.Read.All","Access to log on","Access the Office People API"
"75763f24-4303-4c58-a8b1-8e03ead9d770","Mail.Read","Access the Office People API","Allow access the Office People API"
"1c95d935-5ae8-4181-944c-746c8b105528","Files.Read","Access the Office People API","Allow access the Office People API"
"36e9a6a1-4901-4ea6-bf22-12fa030a7dda","Group.ReadWrite","Access the Office People API","Allow access the Office People API"
"2e87e453-2fc7-45ee-947f-bf81dc7f0926","OnlineMeetings.Read","Access the Office People API","Allow access the Office People API"
"b4ed7afe-ffaf-4a1c-ade1-91d29981e3bb","LLM.Read","Access the Office People API","Allow access the Office People API"
"9eb61caf-4504-44c6-9d98-48e6a1ab8639","User.ReadWrite","Access the Office People API","Allow access the Office People API"
"de67d5fd-90b8-49f3-9ed1-d8010f5455a4","Insight.Read","Access the Office People API","Allow access the Office People API"
