"AnchorUrl","ApplicationPermissions","OperationPermissions","ResourceType","OriginalName","PrefixedName","LastUpdated"
"https://learn.microsoft.com/en-us/graph/utcm-intune-resources#accountprotectionlocalusergroupmembershippolicy-resource-type","DeviceManagementConfiguration.Read.All, DeviceManagementConfiguration.ReadWrite.All, Group.Read.All","Read: Group.Read.All, DeviceManagementConfiguration.Read.All | Update: Group.Read.All, DeviceManagementConfiguration.ReadWrite.All","intune","accountprotectionlocalusergroupmembershippolicy","microsoft.intune.accountprotectionlocalusergroupmembershippolicy","2026-02-06T10:47:30Z"
"https://learn.microsoft.com/en-us/graph/utcm-intune-resources#accountProtectionLocalUserGroupMembershipPolicy-resource-type","DeviceManagementConfiguration.Read.All, DeviceManagementConfiguration.ReadWrite.All, Group.Read.All","Read: Group.Read.All, DeviceManagementConfiguration.Read.All | Update: Group.Read.All, DeviceManagementConfiguration.ReadWrite.All","intune","accountProtectionLocalUserGroupMembershipPolicy","microsoft.intune.accountProtectionLocalUserGroupMembershipPolicy","2026-02-06T10:47:31Z"
"https://learn.microsoft.com/en-us/graph/utcm-intune-resources#accountprotectionpolicy-resource-type","DeviceManagementConfiguration.Read.All, DeviceManagementConfiguration.ReadWrite.All, Group.Read.All","Read: Group.Read.All, DeviceManagementConfiguration.Read.All | Update: DeviceManagementConfiguration.ReadWrite.All","intune","accountprotectionpolicy","microsoft.intune.accountprotectionpolicy","2026-02-06T10:47:31Z"
"https://learn.microsoft.com/en-us/graph/utcm-intune-resources#accountProtectionPolicy-resource-type","DeviceManagementConfiguration.Read.All, DeviceManagementConfiguration.ReadWrite.All, Group.Read.All","Read: Group.Read.All, DeviceManagementConfiguration.Read.All | Update: DeviceManagementConfiguration.ReadWrite.All","intune","accountProtectionPolicy","microsoft.intune.accountProtectionPolicy","2026-02-06T10:47:31Z"
"https://learn.microsoft.com/en-us/graph/utcm-intune-resources#antiviruspolicywindows10settingcatalog-resource-type","DeviceManagementConfiguration.Read.All, DeviceManagementConfiguration.ReadWrite.All, Group.Read.All","Read: Group.Read.All, DeviceManagementConfiguration.Read.All | Update: Group.Read.All, DeviceManagementConfiguration.ReadWrite.All","intune","antiviruspolicywindows10settingcatalog","microsoft.intune.antiviruspolicywindows10settingcatalog","2026-02-06T10:47:31Z"
"https://learn.microsoft.com/en-us/graph/utcm-intune-resources#antivirusPolicyWindows10SettingCatalog-resource-type","DeviceManagementConfiguration.Read.All, DeviceManagementConfiguration.ReadWrite.All, Group.Read.All","Read: Group.Read.All, DeviceManagementConfiguration.Read.All | Update: Group.Read.All, DeviceManagementConfiguration.ReadWrite.All","intune","antivirusPolicyWindows10SettingCatalog","microsoft.intune.antivirusPolicyWindows10SettingCatalog","2026-02-06T10:47:31Z"
"https://learn.microsoft.com/en-us/graph/utcm-intune-resources#appconfigurationpolicy-resource-type","DeviceManagementApps.Read.All, DeviceManagementApps.ReadWrite.All, Group.Read.All","Read: Group.Read.All, DeviceManagementApps.Read.All | Update: Group.Read.All, DeviceManagementApps.ReadWrite.All","intune","appconfigurationpolicy","microsoft.intune.appconfigurationpolicy","2026-02-06T10:47:31Z"
"https://learn.microsoft.com/en-us/graph/utcm-intune-resources#appConfigurationPolicy-resource-type","DeviceManagementApps.Read.All, DeviceManagementApps.ReadWrite.All, Group.Read.All","Read: Group.Read.All, DeviceManagementApps.Read.All | Update: Group.Read.All, DeviceManagementApps.ReadWrite.All","intune","appConfigurationPolicy","microsoft.intune.appConfigurationPolicy","2026-02-06T10:47:31Z"
"https://learn.microsoft.com/en-us/graph/utcm-intune-resources#applicationcontrolpolicywindows10-resource-type","DeviceManagementConfiguration.Read.All, DeviceManagementConfiguration.ReadWrite.All, Group.Read.All","Read: Group.Read.All, DeviceManagementConfiguration.Read.All | Update: Group.Read.All, DeviceManagementConfiguration.ReadWrite.All","intune","applicationcontrolpolicywindows10","microsoft.intune.applicationcontrolpolicywindows10","2026-02-06T10:47:31Z"
"https://learn.microsoft.com/en-us/graph/utcm-intune-resources#applicationControlPolicyWindows10-resource-type","DeviceManagementConfiguration.Read.All, DeviceManagementConfiguration.ReadWrite.All, Group.Read.All","Read: Group.Read.All, DeviceManagementConfiguration.Read.All | Update: Group.Read.All, DeviceManagementConfiguration.ReadWrite.All","intune","applicationControlPolicyWindows10","microsoft.intune.applicationControlPolicyWindows10","2026-02-06T10:47:31Z"
"https://learn.microsoft.com/en-us/graph/utcm-intune-resources#appProtectionPolicyAndroid-resource-type","DeviceManagementApps.Read.All, DeviceManagementApps.ReadWrite.All, Group.Read.All","Read: Group.Read.All, DeviceManagementApps.Read.All | Update: Group.Read.All, DeviceManagementApps.ReadWrite.All","intune","appProtectionPolicyAndroid","microsoft.intune.appProtectionPolicyAndroid","2026-02-06T10:47:31Z"
"https://learn.microsoft.com/en-us/graph/utcm-intune-resources#appprotectionpolicyandroid-resource-type","DeviceManagementApps.Read.All, DeviceManagementApps.ReadWrite.All, Group.Read.All","Read: Group.Read.All, DeviceManagementApps.Read.All | Update: Group.Read.All, DeviceManagementApps.ReadWrite.All","intune","appprotectionpolicyandroid","microsoft.intune.appprotectionpolicyandroid","2026-02-06T10:47:31Z"
"https://learn.microsoft.com/en-us/graph/utcm-intune-resources#appProtectionPolicyiOS-resource-type","DeviceManagementApps.Read.All, DeviceManagementApps.ReadWrite.All, Group.Read.All","Read: Group.Read.All, DeviceManagementApps.Read.All | Update: Group.Read.All, DeviceManagementApps.ReadWrite.All","intune","appProtectionPolicyiOS","microsoft.intune.appProtectionPolicyiOS","2026-02-06T10:47:31Z"
